First and Last Name,Hummingbird,Bluejay,Dolphin,Squirrel,Mouse,Sheep,Kangaroo,Owl,Cat,Toad,Frog,Ptarmigan,Elephant,Tapir,Gecko,Starling,Whale,Starfish,Pig,Dog,Rabbit,Chimpanzee,Lizard,Lion,Canary,Tiger,Lemur,Moose,Bobcat,Penguin,Gorilla,Shark,Jellyfish,Possum,Cicada,Panther,Bear,Parrot,Leopard,Panda
Hummingbird,,I would especially enjoy working with this person.,,,,,,,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,,,,,
Bluejay,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,,,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,,,,,,,I would especially enjoy working with this person.,,
Dolphin,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.
Squirrel,,,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,,,,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,,,,I would especially enjoy working with this person.,,
Mouse,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,,,,I would especially enjoy working with this person.,
Sheep,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kangaroo,,,I would especially enjoy working with this person.,,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,,,,
Owl,,,,,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cat,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,,,I would especially enjoy working with this person.,,,,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,
Toad,,,I would especially enjoy working with this person.,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,,I would especially enjoy working with this person.,,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,,I would especially enjoy working with this person.,,,,,,,,,,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,
Frog,,I would especially enjoy working with this person.,,,,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,,,,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,,,,,,
Ptarmigan,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,
Elephant,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.
Tapir,,,,,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.
Gecko,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.
Starling,,,,,,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,,,I would especially enjoy working with this person.,
Whale,,I would especially enjoy working with this person.,,,,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,
Starfish,,I would especially enjoy working with this person.,,I would refuse to work with this person due to THEIR TECHNICAL ABILITIES,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,,,
Pig,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.
Dog,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,
Rabbit,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,,,,
Chimpanzee,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.
Lizard,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.
Lion,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,
Canary,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would refuse to work with this person due to THEIR TECHNICAL ABILITIES,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would refuse to work with this person due to THEIR TECHNICAL ABILITIES,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would refuse to work with this person due to THEIR TECHNICAL ABILITIES,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would refuse to work with this person due to THEIR TECHNICAL ABILITIES,I would especially enjoy working with this person.,I would refuse to work with this person due to THEIR TECHNICAL ABILITIES
Tiger,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,
Lemur,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.
Moose,,,,,,,,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,,,,,,,
Bobcat,,,,,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,,,,,
Penguin,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.
Gorilla,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.
Shark,,,,,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,,
Jellyfish,,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,
Possum,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would refuse to work with this person due to THEIR TECHNICAL ABILITIES,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.
Cicada,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.
Panther,I would especially enjoy working with this person.,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,,,,,,,I would especially enjoy working with this person.,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,
Bear,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.
Parrot,,I would especially enjoy working with this person.,,,,,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,I would especially enjoy working with this person.,,,,,,,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,
Leopard,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,,I would refuse to work with this person due to THEIR TECHNICAL ABILITIES,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,I would refuse to work with this person due to THEIR TECHNICAL ABILITIES,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would refuse to work with this person due to THEIR TECHNICAL ABILITIES,I would refuse to work with this person due to OUR INTERPERSONAL ISSUES,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,,,,,,,,,,
Panda,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,I would especially enjoy working with this person.,